id,old_filename,result,confidence
full_1200_510,SDB2009_2.JPG,2009,0.94
full_1200_511,SDB2010.JPG,2010,0.95
full_1200_512,SDB2011.JPG,2011,0.95
full_1200_513,SDB2012.JPG,2012,0.93
full_1200_514,SDB2013.JPG,2013,0.95
full_1200_515,SDB2014.JPG,2014,0.94
full_1200_516,SDB2015.JPG,2015,0.94
full_1200_517,SDB2016.JPG,2016,0.94
full_1200_518,SDB2017.JPG,2017,0.95
full_1200_519,SDB2018.JPG,2018,0.94
full_1200_520,SDB2019.JPG,2019,0.92
full_1200_521,SDB2020.JPG,2020,0.94
full_1200_522,SDB2021.JPG,!SDB2021.JPG,0.0
full_1200_523,SDB2021_1.JPG,2021,0.93
full_1200_524,SDB2022.JPG,2022,0.92
full_1200_525,SDB2023.JPG,2023,0.93
full_1200_526,SDB2023_1.JPG,2023,0.92
